Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
BinSanityLC-kmean-bin_10-bin_0	o__Actinomycetales (UID1530)	622	259	152	0	259	0	0	0	0	100.00	0.00	0.00
BinSanityLC-kmean-bin_18-bin_0	o__Clostridiales (UID1120)	304	250	143	2	248	0	0	0	0	98.95	0.00	0.00
BinSanityLC-kmean-bin_4-bin_0	k__Bacteria (UID203)	5449	104	58	55	49	0	0	0	0	73.62	0.00	0.00
BinSanityLC-kmean-bin_45-bin_0	g__Staphylococcus (UID294)	60	773	178	166	607	0	0	0	0	67.66	0.00	0.00
BinSanityLC-kmean-bin_5-bin_0	o__Lactobacillales (UID544)	293	475	267	2	473	0	0	0	0	99.53	0.00	0.00
BinSanityLC-kmean-bin_6-bin_0	g__Staphylococcus (UID298)	56	805	176	472	333	0	0	0	0	46.02	0.00	0.00
BinSanityLC-kmean-bin_8-bin_0	k__Bacteria (UID203)	5449	104	58	71	32	1	0	0	0	51.18	1.72	0.00
BinSanityLC-kmean-bin_94-bin_0-refined_0	k__Archaea (UID2)	207	149	107	64	56	17	11	0	1	50.32	14.75	0.00
low_completion-refined_0	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_1	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
low_completion-refined_10	g__Staphylococcus (UID298)	56	805	176	376	423	6	0	0	0	53.21	1.24	16.67
low_completion-refined_11	k__Bacteria (UID203)	5449	103	57	100	2	0	1	0	0	3.22	1.17	0.00
low_completion-refined_12	f__Leuconostocaceae (UID486)	29	443	178	317	126	0	0	0	0	22.81	0.00	0.00
low_completion-refined_13	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_14	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_15	k__Archaea (UID2)	207	149	107	132	17	0	0	0	0	10.20	0.00	0.00
low_completion-refined_16	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	0.31	0.00	0.00
low_completion-refined_17	o__Clostridiales (UID1125)	128	313	164	233	80	0	0	0	0	17.38	0.00	0.00
low_completion-refined_18	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	5.17	0.00	0.00
low_completion-refined_19	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_2	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_20	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_21	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
low_completion-refined_22	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_23	k__Bacteria (UID203)	5449	104	58	88	16	0	0	0	0	10.38	0.00	0.00
low_completion-refined_24	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_25	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_3	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	5.33	0.00	0.00
low_completion-refined_4	k__Bacteria (UID203)	5449	104	58	73	29	2	0	0	0	27.08	0.31	0.00
low_completion-refined_5	g__Staphylococcus (UID301)	45	940	178	855	85	0	0	0	0	7.99	0.00	0.00
low_completion-refined_6	k__Bacteria (UID203)	5449	104	58	83	21	0	0	0	0	31.90	0.00	0.00
low_completion-refined_7	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	3.03	0.00	0.00
low_completion-refined_8	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_9	g__Streptococcus (UID576)	61	704	251	597	106	1	0	0	0	14.93	0.01	0.00
