Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
igm_Bin-11	k__Bacteria (UID203)	5449	104	58	67	36	1	0	0	0	58.07	1.72	0.00
igm_Bin-12-refined_0	f__Leuconostocaceae (UID486)	29	443	178	317	126	0	0	0	0	22.81	0.00	0.00
igm_Bin-12-refined_1	k__Bacteria (UID203)	5449	104	58	83	21	0	0	0	0	31.90	0.00	0.00
igm_Bin-18	o__Lactobacillales (UID544)	293	475	267	1	474	0	0	0	0	99.63	0.00	0.00
igm_Bin-25	g__Staphylococcus (UID301)	45	940	178	110	828	2	0	0	0	92.87	0.13	50.00
igm_Bin-26	g__Staphylococcus (UID294)	60	773	178	96	677	0	0	0	0	83.13	0.00	0.00
igm_Bin-32	o__Clostridiales (UID1120)	304	250	143	2	248	0	0	0	0	98.95	0.00	0.00
igm_Bin-36	o__Actinomycetales (UID1530)	622	259	152	0	259	0	0	0	0	100.00	0.00	0.00
igm_Bin-38	g__Staphylococcus (UID298)	56	805	176	72	725	8	0	0	0	97.03	2.40	37.50
igm_Bin-8-refined_0	k__Archaea (UID2)	207	149	107	48	57	30	13	0	1	62.86	25.50	0.00
igm_Bin-8-refined_1	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_0	o__Clostridiales (UID1125)	128	313	164	233	80	0	0	0	0	17.38	0.00	0.00
low_completion-refined_1	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
low_completion-refined_10	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	5.33	0.00	0.00
low_completion-refined_11	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_12	k__Bacteria (UID203)	5449	104	58	88	16	0	0	0	0	10.38	0.00	0.00
low_completion-refined_13	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_14	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_15	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_16	k__Bacteria (UID203)	5449	104	58	100	3	1	0	0	0	4.02	0.57	0.00
low_completion-refined_17	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_18	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_19	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
low_completion-refined_2	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	5.17	0.00	0.00
low_completion-refined_20	k__Bacteria (UID203)	5449	104	58	91	13	0	0	0	0	2.74	0.00	0.00
low_completion-refined_21	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_3	k__Archaea (UID2)	207	149	107	143	5	1	0	0	0	3.82	0.23	0.00
low_completion-refined_4	k__Bacteria (UID203)	5449	104	58	88	15	1	0	0	0	13.58	0.16	0.00
low_completion-refined_5	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_6	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_7	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	1.31	0.00	0.00
low_completion-refined_8	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
low_completion-refined_9	g__Streptococcus (UID576)	61	704	251	596	107	1	0	0	0	15.13	0.01	0.00
