Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
Binsanity_0	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	1.33	0.00	0.00
Binsanity_1	k__Archaea (UID2)	207	149	107	119	27	2	1	0	0	21.03	2.34	0.00
Binsanity_10	g__Staphylococcus (UID294)	60	773	178	166	607	0	0	0	0	67.66	0.00	0.00
Binsanity_11	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_12	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
Binsanity_13	g__Staphylococcus (UID294)	60	773	178	632	137	4	0	0	0	17.38	0.36	75.00
Binsanity_14	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_15	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	0.31	0.00	0.00
Binsanity_16	k__Archaea (UID2)	207	149	107	119	24	2	4	0	0	17.11	1.98	0.00
Binsanity_17	g__Staphylococcus (UID298)	56	805	176	191	612	2	0	0	0	82.46	0.61	100.00
Binsanity_18	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_19	k__Bacteria (UID203)	5449	104	58	70	33	1	0	0	0	56.03	1.72	0.00
Binsanity_2	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_20	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_21	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_22	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	5.33	0.00	0.00
Binsanity_23	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
Binsanity_24	k__Bacteria (UID203)	5449	104	58	100	3	1	0	0	0	4.02	0.57	0.00
Binsanity_25	o__Clostridiales (UID1120)	304	250	143	2	248	0	0	0	0	98.95	0.00	0.00
Binsanity_26	o__Lactobacillales (UID544)	293	475	267	1	474	0	0	0	0	99.63	0.00	0.00
Binsanity_27	o__Actinomycetales (UID1530)	622	259	152	0	259	0	0	0	0	100.00	0.00	0.00
Binsanity_28	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_29	f__Leuconostocaceae (UID486)	29	443	178	315	128	0	0	0	0	22.91	0.00	0.00
Binsanity_3	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_30	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	5.17	0.00	0.00
Binsanity_31	g__Streptococcus (UID576)	61	704	251	596	107	1	0	0	0	15.13	0.01	0.00
Binsanity_32	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	3.03	0.00	0.00
Binsanity_33	o__Clostridiales (UID1125)	128	313	164	233	80	0	0	0	0	17.38	0.00	0.00
Binsanity_4	k__Archaea (UID2)	207	149	107	72	53	15	9	0	0	48.01	12.62	0.00
Binsanity_5	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
Binsanity_6	g__Staphylococcus (UID301)	45	940	178	110	828	2	0	0	0	92.87	0.13	50.00
Binsanity_7	k__Bacteria (UID203)	5449	104	58	83	21	0	0	0	0	31.90	0.00	0.00
Binsanity_8	k__Bacteria (UID203)	5449	104	58	88	16	0	0	0	0	10.38	0.00	0.00
Binsanity_9	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
